snapshot_ts,parent_event_id,fomc_decision_date,market_type,is_sparse_ctf,days_to_next_fomc,expected_bps,p_no_change,margin_over_second,n_brackets,modal_prob,modal_outcome_bps,modal_direction,distance_from_uniform,reit_index_open,reit_index_high,reit_index_low,reit_index_close,reit_index_fwd_21d_return,sora_level_realized,sora_fwd_21d_level,sora_fwd_21d_change,sora_fwd_21d_abs_change,sora_level_t2,sora_90d_change_t2,sora_3m_t2,sora_term_spread_t2
2024-07-09,11074,2024-07-31,CTF,False,22,-2.2,0.92,0.85,4,0.92,0.0,hold,0.67,979.71002,982.40997,977.22998,977.23999,0.035651,3.4019,3.6052,0.2033,0.2033,3.5261,10.85,3.6311,0.105
2024-07-10,11074,2024-07-31,CTF,False,21,-1.9,0.943,0.873,4,0.943,0.0,hold,0.693,979.70001,986.82001,979.06,982.89001,0.026046,3.4975,3.5987,0.1012,0.1012,3.4634,9.58,3.6321,0.1687
2024-07-11,11074,2024-07-31,CTF,False,20,-1.95,0.939061,0.874061,4,0.939061,0.0,hold,0.689061,985.90997,1009.96,985.90997,1007.36,-0.000338,3.4685,3.6452,0.1767,0.1767,3.4019,-1.26,3.632,0.2301
2024-07-12,11074,2024-07-31,CTF,False,19,-2.1141,0.934,0.867,4,0.934,0.0,hold,0.684,1014.73,1046.66,1014.73,1040.62,-0.022352,3.5537,3.6717,0.118,0.118,3.4975,8.3,3.6329,0.1354
2024-07-15,11074,2024-07-31,CTF,False,16,-2.4214,0.929,0.848,4,0.929,0.0,hold,0.679,1043.26,1044.89,1033.79,1037.58,-0.014842,3.5134,3.6119,0.0985,0.0985,3.4685,-0.14,3.6337,0.1652
2024-07-16,11074,2024-07-31,CTF,False,15,-2.575,0.918,0.828,4,0.918,0.0,hold,0.668,1037.5601,1037.5601,1029.59,1034.84,-0.013422,3.5137,3.5144,0.0007,0.0007,3.5537,14.25,3.6365,0.0828
2024-07-17,11074,2024-07-31,CTF,False,14,-1.85,0.893,0.824,4,0.893,0.0,hold,0.643,1038.63,1045.1899,1037.1899,1038.24,-0.008563,3.5413,3.5236,-0.0177,0.0177,3.5134,8.75,3.6376,0.1242
2024-07-18,11074,2024-07-31,CTF,False,13,-1.225,0.955,0.91,4,0.955,0.0,hold,0.705,1035.04,1041.6801,1030.01,1041.66,-0.006067,3.5399,3.5471,0.0072,0.0072,3.5137,21.08,3.6386,0.1249
2024-07-19,11074,2024-07-31,CTF,False,12,-1.475,0.96,0.91,4,0.96,0.0,hold,0.71,1034.42,1036.4,1029.72,1032.02,0.008353,3.5864,3.3436,-0.2428,0.2428,3.5413,23.84,3.6412,0.0999
2024-07-22,11074,2024-07-31,CTF,False,9,-1.7224,0.96,0.902103,4,0.96,0.0,hold,0.71,1031.09,1035.49,1029.45,1031.72,0.0142,3.5679,3.1973,-0.3706,0.3706,3.5399,-10.92,3.6423,0.1024
