market_slug,token_id
will-the-fed-raise-interest-rates-by-0-bps-after-its-november-meeting-23,64491459036649486465219314835076276447891025704214489957553300520629529973873
will-the-fed-raise-interest-rates-by-0-bps-after-its-november-meeting-23,10372453836545482036828827854996378603070140800443301391619059118461747859367
will-the-fed-raise-interest-rates-by-25-bps-after-its-november-meeting-23,25537452877782135399272333865550911864224802861212236483675928009444537991243
will-the-fed-raise-interest-rates-by-25-bps-after-its-november-meeting-23,6310933179904297809284134724406866984628219747291239345850114335489293123453
will-the-fed-raise-interest-rates-by-0-bps-after-its-december-meeting,12408230057550388631927572995498874087256748510441651102756939481228298956369
will-the-fed-raise-interest-rates-by-0-bps-after-its-december-meeting,6197481189033769568626680072622228905698064013605526615840685296396952665260
will-the-fed-raise-interest-rates-by-25-bps-after-its-december-meeting,115570981123842187496894360626945622467149923579919003091466749371113066796130
will-the-fed-raise-interest-rates-by-25-bps-after-its-december-meeting,77552040852776799051437593597446435884981722751330016738803930489545113745822
will-the-fed-raise-interest-rates-by-0-bps-after-its-january-meeting,59161453739548749506626935916785382180160388335096779498212302359864194982839
will-the-fed-raise-interest-rates-by-0-bps-after-its-january-meeting,73186635410246392857006846302471547746435727607292452979995753918323557387952
will-the-fed-raise-interest-rates-by-25-bps-after-its-january-meeting,51882881036400115365960749695803801468287449607744554859820244759346785471919
will-the-fed-raise-interest-rates-by-25-bps-after-its-january-meeting,52523979217315432752683627714507510844376099776707024236171901768544983513386
will-the-fed-decrease-interest-rates-by-25-bps-after-its-january-meeting,7456327969315783330931352336688009175553298805923726402105094902683565728372
will-the-fed-decrease-interest-rates-by-25-bps-after-its-january-meeting,61261108154188554068415889997843548833290904163268333664707838611169937840545
will-the-fed-decrease-interest-rates-by-50-bps-after-its-march-2024-meeting,11926510984467575492668088820266912612839730750582615176483366783609104285702
will-the-fed-decrease-interest-rates-by-50-bps-after-its-march-2024-meeting,71996725475666086592550128451879929481106659907722693412187397916628636404798
no-change-in-fed-raise-interest-rates-after-its-2024-march-meeting,51735590924894170001569823740991899172901949146021448619123146982012128066328
no-change-in-fed-raise-interest-rates-after-its-2024-march-meeting,37677462944074969182752596427808431064991251926309617997598199261642924717625
will-the-fed-decrease-interest-rates-by-25-bps-after-its-2024-march-meeting,36077421028184666368397541781786578313775102458600964047317604370778545362617
will-the-fed-decrease-interest-rates-by-25-bps-after-its-2024-march-meeting,50199043123658762717296938365968793361361337371845354437906013866007095164619
will-the-fed-raise-interest-rates-by-25-bps-after-its-2024-march-meeting,100647932394524753511024372351439090270565953451319138975996721541418061568325
will-the-fed-raise-interest-rates-by-25-bps-after-its-2024-march-meeting,78809347143547697320307181120608030232127524836798973473083856775752906357974
will-the-fed-decrease-interest-rates-by-50-bps-after-the-march-2026-meeting,46553455570564517989191023458705371521436514261892866503067981558938998232024
will-the-fed-decrease-interest-rates-by-50-bps-after-the-march-2026-meeting,48458075019957098166340475646923389496510427632693703161736892736757168972646
will-the-fed-decrease-interest-rates-by-25-bps-after-the-march-2026-meeting,62938043365772447095885755955446362343142416536419862840923032141775380249586
will-the-fed-decrease-interest-rates-by-25-bps-after-the-march-2026-meeting,89036168105179001192755120118050209760422683300339582903158940882158509550672
will-there-be-no-change-in-fed-interest-rates-after-the-march-2026-meeting,102559817034631022221500208641784929295731053857601013029449249654006364919935
will-there-be-no-change-in-fed-interest-rates-after-the-march-2026-meeting,114350083305515876605975857295292847572608542141507135338338719165921048222327
will-the-fed-increase-interest-rates-by-25-bps-after-the-march-2026-meeting,54073086346734626735797775941991553522163760164405051969883391401961188364109
will-the-fed-increase-interest-rates-by-25-bps-after-the-march-2026-meeting,111080671036126109659854287535401661966194360665829017654832975124868412594547
will-the-fed-decrease-interest-rates-by-50-bps-after-the-april-2026-meeting,18690049947242812495755151360212639738977254879109748949267393375856311641700
will-the-fed-decrease-interest-rates-by-50-bps-after-the-april-2026-meeting,44217754360633979680316989769899520588351517398269898942558308875588541304698
will-the-fed-decrease-interest-rates-by-25-bps-after-the-april-2026-meeting,83479140651306794046790588004449066364152228067472874205697111967337978544729
will-the-fed-decrease-interest-rates-by-25-bps-after-the-april-2026-meeting,86189905157402748775272356734086074576046362545577080735663677743589826713172
will-there-be-no-change-in-fed-interest-rates-after-the-april-2026-meeting,63586620628756015058616403521099137018911742768824051367331188904593189743777
will-there-be-no-change-in-fed-interest-rates-after-the-april-2026-meeting,31766935524058663070405983804663917978960087327501512757848582448134393241922
will-the-fed-increase-interest-rates-by-25-bps-after-the-april-2026-meeting,9556122149160720922715284597610520228366807023831966638741974320131898296289
will-the-fed-increase-interest-rates-by-25-bps-after-the-april-2026-meeting,30695356184876659373803609107050405812738015124680927512315982415984867952338
will-the-fed-raise-interest-rates-by-25-bps-after-its-2024-aprilmay-meeting,80008014025296677859920829476639341785820697424124805347618728999642819187991
will-the-fed-raise-interest-rates-by-25-bps-after-its-2024-aprilmay-meeting,9217171306727224021688293954254968529052454633491771853374148728911687996458
no-change-in-fed-raise-interest-rates-after-its-2024-aprilmay-meeting,106069101498679413374977045562974413976756527245227090310649786199626426823943
no-change-in-fed-raise-interest-rates-after-its-2024-aprilmay-meeting,72141376668094849954769492573122997402302135905135429328833793996019277552138
will-the-fed-decrease-interest-rates-by-25-bps-after-its-2024-aprilmay-meeting,115747801363178125935864813183081177465824595640832734323974616842434316157020
will-the-fed-decrease-interest-rates-by-25-bps-after-its-2024-aprilmay-meeting,45151182420734454704899827734789694317717530611782402432328791189631545852469
will-the-fed-decrease-interest-rates-by-50-bps-after-its-aprilmay-2024-meeting,19667768821035752473896311318796357210685218881506909594946157304598352119125
will-the-fed-decrease-interest-rates-by-50-bps-after-its-aprilmay-2024-meeting,21460134641425227566341425854729853966100486480195146784236059759485433838126
fed-decreases-interest-rates-by-50-bps-after-june-2024-meeting,105335949811124386846945739797176354973352045946592454514796555249725921609384
fed-decreases-interest-rates-by-50-bps-after-june-2024-meeting,88977959259491902885593980116659978910995500377920492489622863233737846480393
fed-decreases-interest-rates-by-25-bps-after-june-2024-meeting,110024958657457359532038665777399264506271681375762791050970079862807455423716
fed-decreases-interest-rates-by-25-bps-after-june-2024-meeting,41923275653168802773722021577656941405318779178082176346555928498667069501442
no-change-in-fed-interest-rates-after-2024-june-meeting,88465704193015812461296177724920569739949794882741848131901008619945303668495
no-change-in-fed-interest-rates-after-2024-june-meeting,53224487753765579354434176867966731811691409825559123281638739930498374694006
fed-increases-interest-rates-by-25-bps-after-june-2024-meeting,90466366936933482311444495299458164031476797828715202684149333718525518630645
fed-increases-interest-rates-by-25-bps-after-june-2024-meeting,218946159346824336320872961903398997228117780414059645525619899309386305719
fed-decreases-interest-rates-by-50-bps-after-july-2024-meeting,58489327197666729130888438447784692458397801742406884624482733019916335006485
