event_key,parent_event_slug,parent_event_title,parent_series_slug,neg_risk_market_id,group_item_titles,n_markets,n_distinct_conditions,sum_volume,sum_liquidity,min_end_date,max_end_date,any_active,any_not_closed,outcome_market_slugs,top_volume_slug,slug_min,slug_max,id,condition_id,question,slug,outcomes,outcome_prices,volume,liquidity,active,closed,end_date,created_at,_fetched_at
will-the-fed-change-rates-to-another-level-after-december-meeting,,,,,,1,1,11155452.805379,0.0,2024-12-18 20:00:00+08,2024-12-18 20:00:00+08,true,false,will-the-fed-change-rates-to-another-level-after-december-meeting,will-the-fed-change-rates-to-another-level-after-december-meeting,will-the-fed-change-rates-to-another-level-after-december-meeting,will-the-fed-change-rates-to-another-level-after-december-meeting,507419,0x3a5d8047acd8aa377956e65bd40bfafd47ff6d528559b22530fb3822bc1afbbe,Will the FED change rates to another level after December meeting?,will-the-fed-change-rates-to-another-level-after-december-meeting,"[""Yes"", ""No""]","[""0"", ""1""]",11155452.805379,0.0,true,true,2024-12-18 20:00:00+08,2024-09-19 02:17:39.371819+08,2026-02-03 22:24:51.047724
fed-increases-interest-rates-by-25-bps-after-december-2024-meeting,,,,,,1,1,10228496.464075,0.0,2024-12-18 20:00:00+08,2024-12-18 20:00:00+08,true,false,fed-increases-interest-rates-by-25-bps-after-december-2024-meeting,fed-increases-interest-rates-by-25-bps-after-december-2024-meeting,fed-increases-interest-rates-by-25-bps-after-december-2024-meeting,fed-increases-interest-rates-by-25-bps-after-december-2024-meeting,504588,0xb685671ec5f12410f48006fad1ec60fa1a1e19f3a5ba09a81ab45b026821252d,Fed increases interest rates by 25+ bps after December 2024 meeting?,fed-increases-interest-rates-by-25-bps-after-december-2024-meeting,"[""Yes"", ""No""]","[""0"", ""1""]",10228496.464075,0.0,true,true,2024-12-18 20:00:00+08,2024-08-07 00:10:13.881646+08,2026-02-03 22:24:48.865855
fed-decreases-interest-rates-by-50-bps-after-december-2024-meeting,,,,,,1,1,9192309.53167407,0.0,2024-12-18 20:00:00+08,2024-12-18 20:00:00+08,true,false,fed-decreases-interest-rates-by-50-bps-after-december-2024-meeting,fed-decreases-interest-rates-by-50-bps-after-december-2024-meeting,fed-decreases-interest-rates-by-50-bps-after-december-2024-meeting,fed-decreases-interest-rates-by-50-bps-after-december-2024-meeting,504585,0x004e19d419d05dd366793689ce2af457d51bc921d9da4af867de09f0864a4305,Fed decreases interest rates by 50 bps after December 2024 meeting?,fed-decreases-interest-rates-by-50-bps-after-december-2024-meeting,"[""Yes"", ""No""]","[""0"", ""1""]",9192309.53167407,0.0,true,true,2024-12-18 20:00:00+08,2024-08-07 00:08:18.509642+08,2026-02-03 22:24:48.865855
fed-decreases-interest-rates-by-25-bps-after-december-2024-meeting,,,,,,1,1,7490697.06615098,0.0,2024-12-18 20:00:00+08,2024-12-18 20:00:00+08,true,false,fed-decreases-interest-rates-by-25-bps-after-december-2024-meeting,fed-decreases-interest-rates-by-25-bps-after-december-2024-meeting,fed-decreases-interest-rates-by-25-bps-after-december-2024-meeting,fed-decreases-interest-rates-by-25-bps-after-december-2024-meeting,504586,0xa11a9c66032cbe8c607bf1b21591f65dfee9d5eb65d73cc8ad5009c1f9826fa3,Fed decreases interest rates by 25 bps after December 2024 meeting?,fed-decreases-interest-rates-by-25-bps-after-december-2024-meeting,"[""Yes"", ""No""]","[""1"", ""0""]",7490697.06615098,0.0,true,true,2024-12-18 20:00:00+08,2024-08-07 00:08:38.675523+08,2026-02-03 22:24:48.865855
no-change-in-fed-interest-rates-after-december-2024-meeting,,,,,,1,1,7400313.75189,0.0,2024-12-18 20:00:00+08,2024-12-18 20:00:00+08,true,false,no-change-in-fed-interest-rates-after-december-2024-meeting,no-change-in-fed-interest-rates-after-december-2024-meeting,no-change-in-fed-interest-rates-after-december-2024-meeting,no-change-in-fed-interest-rates-after-december-2024-meeting,504587,0x71da2bbc04a7eae0d8ef739c17025d85917c0ea7db07646b6400a4f6ccb9f304,No change in Fed interest rates after December 2024 meeting?,no-change-in-fed-interest-rates-after-december-2024-meeting,"[""Yes"", ""No""]","[""0"", ""1""]",7400313.75189,0.0,true,true,2024-12-18 20:00:00+08,2024-08-07 00:09:17.291199+08,2026-02-03 22:24:48.865855
fed-increases-interest-rates-by-25-bps-after-january-2025-meeting,,,,,,1,1,56978076.059909,0.0,2025-01-29 20:00:00+08,2025-01-29 20:00:00+08,true,false,fed-increases-interest-rates-by-25-bps-after-january-2025-meeting,fed-increases-interest-rates-by-25-bps-after-january-2025-meeting,fed-increases-interest-rates-by-25-bps-after-january-2025-meeting,fed-increases-interest-rates-by-25-bps-after-january-2025-meeting,512325,0x04e07c6085d96ecc1ac7568d6cb640f09e4d300a25afc763b67f15d8f2c8597c,Fed increases interest rates by 25+ bps after January 2025 meeting?,fed-increases-interest-rates-by-25-bps-after-january-2025-meeting,"[""Yes"", ""No""]","[""0"", ""1""]",56978076.059909,0.0,true,true,2025-01-29 20:00:00+08,,2026-02-03 22:24:55.744547
fed-decreases-interest-rates-by-75-bps-after-january-2025-meeting,,,,,,1,1,48840781.093981,0.0,2025-01-29 20:00:00+08,2025-01-29 20:00:00+08,true,false,fed-decreases-interest-rates-by-75-bps-after-january-2025-meeting,fed-decreases-interest-rates-by-75-bps-after-january-2025-meeting,fed-decreases-interest-rates-by-75-bps-after-january-2025-meeting,fed-decreases-interest-rates-by-75-bps-after-january-2025-meeting,512320,0x64123306a517e078fa636231a9cc9339a46bcfe3fadf62c92fdb031881c5d0d8,Fed decreases interest rates by 75+ bps after January 2025 meeting?,fed-decreases-interest-rates-by-75-bps-after-january-2025-meeting,"[""Yes"", ""No""]","[""0"", ""1""]",48840781.093981,0.0,true,true,2025-01-29 20:00:00+08,2024-11-08 05:09:40.268862+08,2026-02-03 22:24:55.744547
fed-decreases-interest-rates-by-50-bps-after-january-2025-meeting,,,,,,1,1,42815445.766141,0.0,2025-01-29 20:00:00+08,2025-01-29 20:00:00+08,true,false,fed-decreases-interest-rates-by-50-bps-after-january-2025-meeting,fed-decreases-interest-rates-by-50-bps-after-january-2025-meeting,fed-decreases-interest-rates-by-50-bps-after-january-2025-meeting,fed-decreases-interest-rates-by-50-bps-after-january-2025-meeting,512321,0x7883a3c40bb01cbd3b9ec9e3b73d75af705e300c9369f27178739cf3f4fa089a,Fed decreases interest rates by 50 bps after January 2025 meeting?,fed-decreases-interest-rates-by-50-bps-after-january-2025-meeting,"[""Yes"", ""No""]","[""0"", ""1""]",42815445.766141,0.0,true,true,2025-01-29 20:00:00+08,2024-11-08 05:16:00.358677+08,2026-02-03 22:24:55.744547
fed-decreases-interest-rates-by-25-bps-after-january-2025-meeting,,,,,,1,1,21247359.999879,0.0,2025-01-29 20:00:00+08,2025-01-29 20:00:00+08,true,false,fed-decreases-interest-rates-by-25-bps-after-january-2025-meeting,fed-decreases-interest-rates-by-25-bps-after-january-2025-meeting,fed-decreases-interest-rates-by-25-bps-after-january-2025-meeting,fed-decreases-interest-rates-by-25-bps-after-january-2025-meeting,512323,0xf48f79d8e60ab1efa76e53bec8c005611bfdc097cc0e51dc2f612709c04f5acf,Fed decreases interest rates by 25 bps after January 2025 meeting?,fed-decreases-interest-rates-by-25-bps-after-january-2025-meeting,"[""Yes"", ""No""]","[""0"", ""1""]",21247359.999879,0.0,true,true,2025-01-29 20:00:00+08,2024-11-08 05:18:00.511997+08,2026-02-03 22:24:55.744547
no-change-in-fed-interest-rates-after-january-2025-meeting,,,,,,1,1,21033386.279391,0.0,2025-01-29 20:00:00+08,2025-01-29 20:00:00+08,true,false,no-change-in-fed-interest-rates-after-january-2025-meeting,no-change-in-fed-interest-rates-after-january-2025-meeting,no-change-in-fed-interest-rates-after-january-2025-meeting,no-change-in-fed-interest-rates-after-january-2025-meeting,512324,0x4e0f29885709d63bfcff29e80f4a8df1da9e97906ba9e21577b46a70858d8e06,No change in Fed interest rates after January 2025 meeting?,no-change-in-fed-interest-rates-after-january-2025-meeting,"[""Yes"", ""No""]","[""1"", ""0""]",21033386.279391,0.0,true,true,2025-01-29 20:00:00+08,2024-11-08 05:20:49.045919+08,2026-02-03 22:24:55.744547
