parent_event_id,parent_event_slug,parent_event_title,parent_series_slug,parent_end_date_intended,parent_end_date_actual_resolution,market_slug,group_item_title,group_item_threshold,closed,end_date,created_at,_fetched_at,token_id,in_observed_export,token_map_status
10098,fed-interest-rates-may-2024,Fed Interest Rates: May 2024,,2024-05-01T12:00:00Z,2024-05-01T21:14:06Z,will-the-fed-raise-interest-rates-by-25-bps-after-its-2024-aprilmay-meeting,25+ bps increase,3,True,2024-04-30T12:00:00Z,2024-03-20T19:28:30.765199Z,,8.00080140252967E+076,1,ok
10098,fed-interest-rates-may-2024,Fed Interest Rates: May 2024,,2024-05-01T12:00:00Z,2024-05-01T21:14:06Z,will-the-fed-raise-interest-rates-by-25-bps-after-its-2024-aprilmay-meeting,25+ bps increase,3,True,2024-04-30T12:00:00Z,2024-03-20T19:28:30.765199Z,,9.21717130672722E+075,1,ok
10535,fed-interest-rates-june-2024,Fed Interest Rates: June 2024,fed-interest-rates,2024-06-12T12:00:00Z,2024-06-12T21:22:25Z,fed-decreases-interest-rates-by-50-bps-after-june-2024-meeting,50+ bps decrease,0,True,2024-06-12T12:00:00Z,2024-05-01T14:42:46.536428Z,,1.05335949811124E+077,1,ok
10535,fed-interest-rates-june-2024,Fed Interest Rates: June 2024,fed-interest-rates,2024-06-12T12:00:00Z,2024-06-12T21:22:25Z,fed-decreases-interest-rates-by-50-bps-after-june-2024-meeting,50+ bps decrease,0,True,2024-06-12T12:00:00Z,2024-05-01T14:42:46.536428Z,,8.89779592594919E+076,1,ok
10535,fed-interest-rates-june-2024,Fed Interest Rates: June 2024,fed-interest-rates,2024-06-12T12:00:00Z,2024-06-12T21:22:25Z,fed-decreases-interest-rates-by-25-bps-after-june-2024-meeting,25 bps decrease,1,True,2024-06-12T12:00:00Z,2024-05-01T14:43:49.794978Z,,1.10024958657457E+077,1,ok
10535,fed-interest-rates-june-2024,Fed Interest Rates: June 2024,fed-interest-rates,2024-06-12T12:00:00Z,2024-06-12T21:22:25Z,fed-decreases-interest-rates-by-25-bps-after-june-2024-meeting,25 bps decrease,1,True,2024-06-12T12:00:00Z,2024-05-01T14:43:49.794978Z,,4.19232756531688E+076,1,ok
10535,fed-interest-rates-june-2024,Fed Interest Rates: June 2024,fed-interest-rates,2024-06-12T12:00:00Z,2024-06-12T21:22:25Z,no-change-in-fed-interest-rates-after-2024-june-meeting,No Change,2,True,2024-06-12T12:00:00Z,2024-05-01T14:46:06.316921Z,,8.84657041930158E+076,1,ok
10535,fed-interest-rates-june-2024,Fed Interest Rates: June 2024,fed-interest-rates,2024-06-12T12:00:00Z,2024-06-12T21:22:25Z,no-change-in-fed-interest-rates-after-2024-june-meeting,No Change,2,True,2024-06-12T12:00:00Z,2024-05-01T14:46:06.316921Z,,5.32244877537656E+076,1,ok
10535,fed-interest-rates-june-2024,Fed Interest Rates: June 2024,fed-interest-rates,2024-06-12T12:00:00Z,2024-06-12T21:22:25Z,fed-increases-interest-rates-by-25-bps-after-june-2024-meeting,25+ bps increase,3,True,2024-06-12T12:00:00Z,2024-05-01T14:47:54.031749Z,,9.04663669369335E+076,1,ok
10535,fed-interest-rates-june-2024,Fed Interest Rates: June 2024,fed-interest-rates,2024-06-12T12:00:00Z,2024-06-12T21:22:25Z,fed-increases-interest-rates-by-25-bps-after-june-2024-meeting,25+ bps increase,3,True,2024-06-12T12:00:00Z,2024-05-01T14:47:54.031749Z,,2.18946159346824E+074,1,ok
11074,fed-interest-rates-july-2024,Fed Interest Rates: July 2024,fed-interest-rates,2024-07-31T12:00:00Z,2024-07-31T21:15:10Z,fed-decreases-interest-rates-by-50-bps-after-july-2024-meeting,50+ bps decrease,0,True,2024-07-31T12:00:00Z,2024-06-12T18:17:44.946057Z,,5.84893271976667E+076,1,ok
11074,fed-interest-rates-july-2024,Fed Interest Rates: July 2024,fed-interest-rates,2024-07-31T12:00:00Z,2024-07-31T21:15:10Z,fed-decreases-interest-rates-by-50-bps-after-july-2024-meeting,50+ bps decrease,0,True,2024-07-31T12:00:00Z,2024-06-12T18:17:44.946057Z,,5.95540352729715E+076,1,ok
11074,fed-interest-rates-july-2024,Fed Interest Rates: July 2024,fed-interest-rates,2024-07-31T12:00:00Z,2024-07-31T21:15:10Z,fed-decreases-interest-rates-by-25-bps-after-july-2024-meeting,25 bps decrease,1,True,2024-07-31T12:00:00Z,2024-06-12T18:29:25.469418Z,,5.00069781525639E+076,1,ok
11074,fed-interest-rates-july-2024,Fed Interest Rates: July 2024,fed-interest-rates,2024-07-31T12:00:00Z,2024-07-31T21:15:10Z,fed-decreases-interest-rates-by-25-bps-after-july-2024-meeting,25 bps decrease,1,True,2024-07-31T12:00:00Z,2024-06-12T18:29:25.469418Z,,5.69800380216931E+076,1,ok
11074,fed-interest-rates-july-2024,Fed Interest Rates: July 2024,fed-interest-rates,2024-07-31T12:00:00Z,2024-07-31T21:15:10Z,no-change-in-fed-interest-rates-after-2024-july-meeting,No Change,2,True,2024-07-31T12:00:00Z,2024-06-12T18:38:57.336731Z,,1.49870462182273E+076,1,ok
11074,fed-interest-rates-july-2024,Fed Interest Rates: July 2024,fed-interest-rates,2024-07-31T12:00:00Z,2024-07-31T21:15:10Z,no-change-in-fed-interest-rates-after-2024-july-meeting,No Change,2,True,2024-07-31T12:00:00Z,2024-06-12T18:38:57.336731Z,,7.19140387733502E+076,1,ok
11074,fed-interest-rates-july-2024,Fed Interest Rates: July 2024,fed-interest-rates,2024-07-31T12:00:00Z,2024-07-31T21:15:10Z,fed-increases-interest-rates-by-25-bps-after-july-2024-meeting,25+ bps increase,3,True,2024-07-31T12:00:00Z,2024-06-12T18:38:57.890156Z,,2.95566357438834E+075,1,ok
11074,fed-interest-rates-july-2024,Fed Interest Rates: July 2024,fed-interest-rates,2024-07-31T12:00:00Z,2024-07-31T21:15:10Z,fed-increases-interest-rates-by-25-bps-after-july-2024-meeting,25+ bps increase,3,True,2024-07-31T12:00:00Z,2024-06-12T18:38:57.890156Z,,4.51887973913189E+076,1,ok
11696,fed-interest-rates-september-2024,Fed Interest Rates: September 2024,fed-interest-rates,2024-09-18T12:00:00Z,2024-09-18T21:24:56Z,fed-decreases-interest-rates-by-50-bps-after-september-2024-meeting,50+ bps decrease,0,True,2024-09-18T12:00:00Z,2024-07-25T14:47:42.952096Z,,1.06191328358577E+077,1,ok
11696,fed-interest-rates-september-2024,Fed Interest Rates: September 2024,fed-interest-rates,2024-09-18T12:00:00Z,2024-09-18T21:24:56Z,fed-decreases-interest-rates-by-50-bps-after-september-2024-meeting,50+ bps decrease,0,True,2024-09-18T12:00:00Z,2024-07-25T14:47:42.952096Z,,9.21412741616477E+075,1,ok
11696,fed-interest-rates-september-2024,Fed Interest Rates: September 2024,fed-interest-rates,2024-09-18T12:00:00Z,2024-09-18T21:24:56Z,fed-decreases-interest-rates-by-25-bps-after-september-2024-meeting,25 bps decrease,1,True,2024-09-18T12:00:00Z,2024-07-25T14:48:32.558007Z,,8.82444433600632E+076,1,ok
11696,fed-interest-rates-september-2024,Fed Interest Rates: September 2024,fed-interest-rates,2024-09-18T12:00:00Z,2024-09-18T21:24:56Z,fed-decreases-interest-rates-by-25-bps-after-september-2024-meeting,25 bps decrease,1,True,2024-09-18T12:00:00Z,2024-07-25T14:48:32.558007Z,,6.86708909695424E+076,1,ok
11696,fed-interest-rates-september-2024,Fed Interest Rates: September 2024,fed-interest-rates,2024-09-18T12:00:00Z,2024-09-18T21:24:56Z,no-change-in-fed-interest-rates-after-2024-september-meeting,No Change,2,True,2024-09-18T12:00:00Z,2024-07-25T14:49:06.609703Z,,8.92627221333879E+076,1,ok
11696,fed-interest-rates-september-2024,Fed Interest Rates: September 2024,fed-interest-rates,2024-09-18T12:00:00Z,2024-09-18T21:24:56Z,no-change-in-fed-interest-rates-after-2024-september-meeting,No Change,2,True,2024-09-18T12:00:00Z,2024-07-25T14:49:06.609703Z,,3.35079630706207E+076,1,ok
11696,fed-interest-rates-september-2024,Fed Interest Rates: September 2024,fed-interest-rates,2024-09-18T12:00:00Z,2024-09-18T21:24:56Z,fed-increases-interest-rates-by-25-bps-after-september-2024-meeting,25+ bps increase,3,True,2024-09-18T12:00:00Z,2024-07-25T14:50:10.874134Z,,9.58231786507273E+076,1,ok
11696,fed-interest-rates-september-2024,Fed Interest Rates: September 2024,fed-interest-rates,2024-09-18T12:00:00Z,2024-09-18T21:24:56Z,fed-increases-interest-rates-by-25-bps-after-september-2024-meeting,25+ bps increase,3,True,2024-09-18T12:00:00Z,2024-07-25T14:50:10.874134Z,,2.29753253641397E+076,1,ok
11827,fed-interest-rates-november-2024,Fed Interest Rates: November 2024,fed-interest-rates,2024-11-07T12:00:00Z,2024-11-07T23:00:02Z,fed-decreases-interest-rates-by-75-bps-after-november-2024-meeting,75+ bps decrease,0,True,2024-11-07T12:00:00Z,2024-08-02T19:28:58.198711Z,,7.6898974139299E+076,1,ok
11827,fed-interest-rates-november-2024,Fed Interest Rates: November 2024,fed-interest-rates,2024-11-07T12:00:00Z,2024-11-07T23:00:02Z,fed-decreases-interest-rates-by-75-bps-after-november-2024-meeting,75+ bps decrease,0,True,2024-11-07T12:00:00Z,2024-08-02T19:28:58.198711Z,,4.74701560492564E+076,1,ok
11827,fed-interest-rates-november-2024,Fed Interest Rates: November 2024,fed-interest-rates,2024-11-07T12:00:00Z,2024-11-07T23:00:02Z,fed-decreases-interest-rates-by-50-bps-after-november-2024-meeting,50 bps decrease,1,True,2024-11-07T12:00:00Z,2024-08-02T19:30:38.497246Z,,7.23739224846016E+076,1,ok
11827,fed-interest-rates-november-2024,Fed Interest Rates: November 2024,fed-interest-rates,2024-11-07T12:00:00Z,2024-11-07T23:00:02Z,fed-decreases-interest-rates-by-50-bps-after-november-2024-meeting,50 bps decrease,1,True,2024-11-07T12:00:00Z,2024-08-02T19:30:38.497246Z,,9.22491691403337E+076,1,ok
11827,fed-interest-rates-november-2024,Fed Interest Rates: November 2024,fed-interest-rates,2024-11-07T12:00:00Z,2024-11-07T23:00:02Z,fed-decreases-interest-rates-by-25-bps-after-november-2024-meeting,25 bps decrease,2,True,2024-11-07T12:00:00Z,2024-08-02T19:31:18.861489Z,,6.52969168225298E+076,1,ok
11827,fed-interest-rates-november-2024,Fed Interest Rates: November 2024,fed-interest-rates,2024-11-07T12:00:00Z,2024-11-07T23:00:02Z,fed-decreases-interest-rates-by-25-bps-after-november-2024-meeting,25 bps decrease,2,True,2024-11-07T12:00:00Z,2024-08-02T19:31:18.861489Z,,7.82385431105921E+076,1,ok
11827,fed-interest-rates-november-2024,Fed Interest Rates: November 2024,fed-interest-rates,2024-11-07T12:00:00Z,2024-11-07T23:00:02Z,no-change-in-fed-interest-rates-after-2024-november-meeting,No Change,3,True,2024-11-07T12:00:00Z,2024-08-02T19:35:38.051127Z,,9.96934531805734E+076,1,ok
11827,fed-interest-rates-november-2024,Fed Interest Rates: November 2024,fed-interest-rates,2024-11-07T12:00:00Z,2024-11-07T23:00:02Z,no-change-in-fed-interest-rates-after-2024-november-meeting,No Change,3,True,2024-11-07T12:00:00Z,2024-08-02T19:35:38.051127Z,,1.1550789553083E+077,1,ok
11827,fed-interest-rates-november-2024,Fed Interest Rates: November 2024,fed-interest-rates,2024-11-07T12:00:00Z,2024-11-07T23:00:02Z,fed-increases-interest-rates-by-25-bps-after-november-2024-meeting,25+ bps increase,4,True,2024-11-07T12:00:00Z,2024-08-02T19:36:17.448261Z,,3.76070877497721E+076,1,ok
11827,fed-interest-rates-november-2024,Fed Interest Rates: November 2024,fed-interest-rates,2024-11-07T12:00:00Z,2024-11-07T23:00:02Z,fed-increases-interest-rates-by-25-bps-after-november-2024-meeting,25+ bps increase,4,True,2024-11-07T12:00:00Z,2024-08-02T19:36:17.448261Z,,6.2906346854843E+076,1,ok
11827,fed-interest-rates-november-2024,Fed Interest Rates: November 2024,fed-interest-rates,2024-11-07T12:00:00Z,2024-11-07T23:00:02Z,will-the-fed-change-rates-to-another-level-after-nov-meeting,Other,5,True,2024-11-07T12:00:00Z,2024-09-18T18:03:17.068712Z,,6.12369148127654E+076,1,ok
