snapshot_ts,ticker,car_63d,car_sign_consistency,car_acceleration,expected_bps,sora_level_t2,reit_index_lag_21d_return,reit_index_lag_63d_return,reit_index_vol_21d,reit_index_vol_63d,reit_index_drawdown_63d,is_A17U,is_AJBU,is_BTOU,is_BUOU,is_C38U,is_CMOU,is_J69U,is_M1GU,is_M44U,is_ME8U,is_N2IU,is_OXMU,is_T82U,y_true
2023-10-23,CMOU,0.006701492,0.002331659,0.00026825434,0.012225817,0.0039091394,-0.0004939303,0.013486806,0.0016814746,-0.0010338306,0.009168759,0.0,0.0,0.0008797984,0.0,0.0,-0.0011735898,0.0,0.0,0.0,0.0,0.0,-0.00010331879,0.0,0.1454329590805392
2023-10-24,M44U,-0.007430506,-0.006588391,0.00041194932,0.0016891558,0.00020987305,-0.0004939303,0.0033227482,0.0028118393,4.681823e-05,0.00622015,0.0,0.0,0.00032834715,0.0,0.0,0.0001628578,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,-0.03183249303092517
2023-11-03,M1GU,-0.002031802,-0.00013186713,0.00020332207,-0.0022438169,2.402223e-06,3.9906998e-05,-7.917116e-05,0.0022528914,0.0011867356,0.0002585873,0.0,0.0,0.0008328516,0.0,0.0,0.00047714997,0.0,0.0,0.0,0.0,0.0,0.00070957467,0.0,-0.009242681693931602
2023-11-06,M1GU,-0.0025406415,-0.000118590346,0.0004869764,0.00073216937,1.7689403e-05,0.00015521757,-0.00011871099,0.0021167719,0.0011162488,-0.0003623692,0.0,0.0,0.00038788983,0.0,0.0,0.0001628578,0.0,0.0,0.0,0.0,0.0,-0.00011854494,0.0,-0.014400583971072627
2023-11-06,N2IU,-0.0025406415,0.000104293846,0.0004869764,0.00072173466,1.7689403e-05,0.00015521757,-0.00011871099,0.0021383008,0.0011162488,-0.0005639437,0.0,0.0,0.00038934918,0.0,0.0,0.0001628578,0.0,0.0,0.0,0.0,0.0,-0.00015240812,0.0,-0.022227282642780302
2023-11-10,AJBU,-0.0014261762,-0.000118590346,-2.0403968e-07,0.00067518256,-0.00014979471,-0.0003670583,-0.00011210078,0.0019044885,0.00094300875,0.00014777781,0.0,0.0,0.00033351948,0.0,0.0,0.0001628578,0.0,0.0,0.0,0.0,0.0,-7.594674e-05,0.0,-0.0007555512112341206
2023-11-20,ME8U,-0.0023131014,-0.000118590346,0.00087273156,0.00065978826,-6.305774e-06,0.00017610152,-0.00020322445,0.0020911982,0.00044700285,-0.00021760698,0.0,0.0,0.0004682173,0.0,0.0,0.00017929822,0.0,0.0,0.0,0.0,0.0,-0.00011854494,0.0,0.0004116329197290658
2023-11-24,J69U,-0.001901338,-0.000118590346,0.0008733349,0.00065978826,-0.00028050516,0.00017610152,-0.00020322445,0.0018041958,0.00044700285,-6.8771915e-05,0.0,0.0,0.0004682173,0.0,0.0,0.00017929822,0.0,0.0,0.0,0.0,0.0,-0.00011854494,0.0,-0.027920669283328953
2023-11-27,OXMU,-0.012362303,-0.00017614913,-0.07029382,0.004457532,3.508884e-05,0.0035750957,-0.00020322445,0.002974663,-0.0024245272,-0.00029752826,0.0,0.0,0.0014912529,0.0,0.0,0.00013609555,0.0,0.0,0.0,0.0,0.0,-0.0015889832,0.0,0.04717507286559266
2023-11-30,BTOU,-0.004289928,4.695898e-05,0.0026847243,0.001192914,-0.0015284164,0.00017610152,-0.0012357483,0.005394559,0.007819465,-0.0010057419,0.0,0.0,-0.010043322,0.0,0.0,0.00014293722,0.0,0.0,0.0,0.0,0.0,-0.00018761354,0.0,0.406088496909911
2023-12-07,OXMU,-0.016192503,-0.00033276633,0.00082700734,0.004554694,0.00023241914,0.0035750957,-0.00020322445,0.0031170165,-0.0024245272,-6.67377e-05,0.0,0.0,0.0005516865,0.0,0.0,0.00013609555,0.0,0.0,0.0,0.0,0.0,-0.0015889832,0.0,0.28265456508579834
