snapshot_ts,sora_term_spread_t2,expected_bps,p_no_change,margin_over_second,days_to_next_fomc,p_no_change_missing,margin_over_second_missing,expected_bps_minus_sora_90d,sora_curve_steepness,sora_lag_21d_diff,sora_lag_63d_diff,sora_lag_10d_diff,sora_lag_5d_diff,sora_realized_vol_21d,sora_realized_vol_63d,sora_below_63d_peak,sora_dist_from_63d_ma,sora_accel_21d
2025-05-14,0.004149273,-0.033176832,0.00422749,-0.008953838,0.0046852357,0.0,0.0,0.010198231,0.0020837558,0.0047627673,0.0030278827,0.008692609,0.0053967466,-0.03707663,-0.027526319,-0.005044015,0.009952787,0.00424968
2025-05-15,-0.0061366656,-0.031570315,0.00422749,-0.008953838,0.0059014666,0.0,0.0,0.008261712,0.0020837558,0.0047627673,0.0030278827,0.008692609,0.004234748,-0.03707663,-0.026602035,-0.005044015,0.009952787,0.00424968
2025-05-16,0.004149273,-0.033176832,0.00422749,-0.008953838,0.0046852357,0.0,0.0,0.010198231,0.0020837558,0.0047627673,0.005578802,0.008692609,0.0053967466,-0.03707663,-0.027526319,-0.005044015,0.0074018682,0.00424968
2025-05-19,0.004202121,-0.033176832,0.00422749,-0.008953838,0.0046852357,0.0,0.0,0.010198231,0.0020837558,0.0052562305,0.0030278827,0.03266874,0.0053967466,-0.036229055,-0.027526319,-0.005044015,0.009952787,0.00424968
2025-05-20,0.004202121,-0.030618133,0.00422749,-0.008953838,0.0046852357,0.0,0.0,0.010198231,0.0020837558,0.0052909977,0.003510509,0.03266874,0.038145997,-0.033791814,-0.027526319,-0.005044015,0.009969018,0.00424968
2025-05-21,0.0027712558,-0.033176832,0.003821146,-0.008953838,0.0046852357,0.0,0.0,-0.0019367666,0.0020837558,0.0052562305,0.0030278827,0.03266874,0.0053967466,-0.036229055,-0.027526319,-0.005044015,0.009952787,0.00424968
2025-05-22,0.002718408,-0.031080605,0.004970911,-0.012977056,0.0046852357,0.0,0.0,-0.0019367666,0.0020837558,0.0047627673,0.005578802,0.008692609,0.0053967466,-0.03707663,-0.026506608,-0.0010207978,0.005953394,-0.004043707
2025-05-23,0.002718408,-0.028017329,0.004970911,-0.012977056,0.0046852357,0.0,0.0,-0.0012724323,0.0020837558,0.0047627673,0.0030278827,0.008692609,0.0035942213,-0.03707663,-0.024761189,-0.0010207978,0.007808158,-0.010841907
2025-05-26,0.004202121,-0.028813919,0.005377255,-0.014255263,0.0046852357,0.0,0.0,0.010862566,0.0020837558,0.0052562305,0.0030278827,0.03266874,0.0053967466,-0.036229055,-0.026506608,-0.0010207978,0.014997716,-0.0047080414
2025-05-27,0.004202121,-0.02016216,0.005804479,-0.012977056,0.0046852357,0.0,0.0,0.010862566,0.0020837558,0.0052562305,0.0030278827,0.036495835,0.0045185043,-0.0051075537,-0.0209213,-0.0010207978,0.0085043125,-0.036273148
2025-05-28,0.002718408,0.001208435,0.004970911,-0.012977056,0.0053252266,0.0,0.0,-0.0012724323,0.0020837558,0.0055261245,0.004465348,0.008692609,0.0053967466,-0.005955128,-0.0209213,-0.0010207978,0.011250519,-0.036595173
2025-05-29,0.004149273,0.001208435,0.0060395855,-0.012977056,0.0053252266,0.0,0.0,0.010862566,0.0020837558,0.0055261245,0.004143322,0.008692609,0.0053967466,-0.03707663,-0.024230376,-0.0010207978,0.011250519,-0.036273148
2025-05-30,0.004149273,-0.0069208173,0.0048898207,-0.012977056,0.0053252266,0.0,0.0,0.010198231,0.0020837558,0.0055608917,0.004625948,0.008692609,0.038145997,-0.03463939,-0.02818865,-0.0010207978,0.01126675,0.00424968
2025-06-02,0.002718408,0.0010204448,0.0044834763,-0.012977056,0.0051780636,0.0,0.0,-0.0018540989,0.0020837558,0.0055261245,0.0066942414,0.008692609,0.0044245636,-0.03707663,-0.027264366,-0.0010207978,0.008699599,0.00424968
2025-06-03,0.004202121,-0.001662428,0.0053170454,-0.016435787,0.003856814,0.0,0.0,0.009496106,0.0015166355,0.04191042,0.008687704,0.053202767,0.039825592,0.0015183336,-0.025541903,-0.00080890924,0.01237221,0.00424968
2025-06-04,0.010766675,0.002751541,0.0053170454,-0.08212638,0.0048785373,0.0,0.0,0.007992431,0.0015166355,0.018310787,0.025300791,0.046791174,0.026134467,-0.007204717,-0.025120767,0.09873184,0.22751077,0.00424968
2025-06-05,0.005723973,-0.001662428,0.004910701,-0.08212638,0.004310125,0.0,0.0,-0.0041425675,0.0015166355,0.018310787,0.025300791,0.046791174,0.026134467,-0.007204717,-0.025120767,0.09873184,0.23112261,0.00424968
2025-06-06,0.005723973,-0.001662428,0.004910701,-0.08212638,0.004310125,0.0,0.0,-0.010359217,0.0015166355,0.018310787,0.025300791,0.046791174,0.026134467,-0.007204717,-0.025120767,0.09873184,0.23733927,0.00424968
2025-06-09,0.005723973,0.002751541,0.004910701,-0.08212638,0.0048785373,0.0,0.0,-0.010359217,0.0015166355,0.018310787,0.025300791,0.046791174,0.026134467,-0.007204717,-0.025120767,0.09873184,0.23733927,0.00424968
2025-06-10,-0.0037365183,-0.001230048,0.004910701,-0.016435787,-0.0020392523,0.0,0.0,-0.0153876655,0.0015166355,0.03623428,0.004143322,0.05599697,0.008175198,-0.004613065,-0.025541903,-0.00080890924,0.015923249,0.00424968
2025-06-11,-0.0037365183,-0.0020574199,0.004910701,-0.015580002,-0.012697666,0.0,0.0,-0.01567016,0.0015166355,0.039233774,0.0038091345,0.036809765,-0.04911701,-0.0055821436,-0.028123336,-0.0010207978,0.016200308,0.00424968
2025-06-12,0.0050970335,-0.0021373823,0.0053170454,-0.016435787,-0.022500213,0.0,0.0,0.009213611,0.0015166355,0.03643957,0.0037269862,0.05599697,-0.048267756,-0.0055821436,-0.028123336,-0.00080890924,0.016694793,0.00424968
2025-06-13,0.0050970335,-0.0021373823,0.0053170454,-0.016435787,-0.022500213,0.0,0.0,0.009213611,0.0015166355,0.03643957,0.0037269862,0.05599697,-0.048267756,-0.0055821436,-0.028123336,-0.00080890924,0.016694793,0.00424968
2025-06-16,-0.0037365183,-0.004009597,0.004910701,-0.016435787,-0.025929645,0.0,0.0,-0.01567016,0.0015166355,0.03643957,0.0064476784,0.05599697,-0.03725676,-0.0055821436,-0.028123336,-0.00080890924,0.013649385,0.00424968
2025-06-17,-0.0037365183,-0.002329138,0.0044834763,-0.015580002,-0.025929645,0.0,0.0,-0.0153876655,0.0015166355,0.03906325,0.008605556,0.03298267,0.037157785,-0.0056620045,-0.025541903,-0.0010207978,0.011877723,0.00424968
2025-06-18,0.0036133204,-0.004887839,0.0044834763,-0.015580002,-0.025929645,0.0,0.0,-0.0153876655,0.0015166355,0.038081035,0.006612093,-0.068051316,0.007894719,-0.009615558,-0.025038589,-0.0010207978,0.013218013,0.0033480811
2025-06-19,-0.0046842787,-0.013842848,0.003821146,-0.015580002,0.0053252266,0.0,0.0,-0.0154703325,0.0015166355,0.038081035,0.008205078,-0.07927867,0.0064955982,-0.01624737,-0.024376258,-0.0010207978,0.011528164,0.0035250965
2025-06-20,0.002718408,-0.023493607,0.003821146,-0.015580002,0.0046852357,0.0,0.0,-0.0154703325,0.0015166355,0.04031084,0.007089639,-0.07927867,0.0046930737,-0.01624737,-0.023451975,-0.0010207978,0.017687641,0.0035250965
2025-06-23,0.002718408,-0.025820326,0.0019930261,-0.0024852115,0.0046852357,0.0,0.0,-0.016043775,0.00095858786,0.04031084,0.00578505,-0.05602554,0.0064955982,-0.013032625,-0.023951653,-0.005044015,0.019136118,0.0033480811
